mean,std
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71925,0.252497
9,2.71358,0.255191
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
9,2.69238,0.269814
10,2.75678,0.280157
10,2.66459,0.249781
10,2.66459,0.249781
10,2.66459,0.249781
10,2.66459,0.249781
10,2.66459,0.249781
10,2.66459,0.249781
10,2.66459,0.249781
10,2.66459,0.249781
10,2.66459,0.249781
10,2.64782,0.260467
10,2.6354,0.27164
10,2.6354,0.27164
10,2.6354,0.27164
10,2.6354,0.27164
10,2.6354,0.27164
10,2.62522,0.275257
10,2.59962,0.292592
10,2.59962,0.292592
10,2.59962,0.292592
10,2.59962,0.292592
10,2.59962,0.292592
10,2.59962,0.292592
