x11,x12,x21,x22
-0.084780,0.289371,0.785057,-0.203968
0.086825,-0.522149,0.918224,0.033527
-0.055156,0.060061,0.929960,-0.111831
-0.048130,-0.064883,0.943586,0.063566
-0.054788,-0.029271,0.945211,-0.030765
-0.153641,-0.058179,0.846356,-0.055671
-0.246540,0.287488,0.732152,0.082155
0.100873,-0.042820,1.100215,-0.079087
-0.012053,0.128505,0.975639,-0.027909
-0.172832,-0.031764,0.818647,-0.162032
0.139280,0.090852,1.130736,-0.039590
0.020280,0.105368,1.002938,-0.080058
0.064616,-0.050751,1.063940,-0.013986
-0.137403,-0.187823,0.823464,0.089188
-0.029471,0.098504,0.962778,-0.025761
-0.028667,-0.071226,0.959300,0.083438
0.072803,0.089103,1.072255,0.055999
0.003612,-0.304208,0.953619,0.008020
0.164546,0.093291,1.083218,-0.301731
0.080587,-0.122027,1.080465,-0.106364
-0.141348,0.079204,0.858177,0.048390
-0.037145,-0.042897,0.955697,0.076537
0.136249,-0.240416,1.130557,-0.133869
0.007159,-0.065347,1.006863,-0.089683
0.039697,-0.018228,1.039238,-0.048501
-0.110625,0.037856,0.882993,-0.074936
0.026347,-0.661588,0.848933,-0.092948
-0.022360,-0.045540,0.977400,-0.023635
0.105428,0.328280,1.077218,0.092435
0.089695,0.036414,1.074096,0.212354
-0.018743,0.068693,0.979331,0.130717
-0.075135,-0.206649,0.915327,-0.068865
-0.037821,0.246415,0.908344,-0.077269
0.060638,-0.168915,1.014332,0.131863
0.205436,0.242659,1.192134,0.080099
-0.148392,-0.103613,0.851208,-0.131892
-0.089880,0.233256,0.846436,-0.117902
-0.009890,-0.070397,0.981289,0.062129
0.159174,-0.284468,1.098329,0.059028
0.096650,-0.169930,1.093699,-0.093153
-0.024550,0.253549,0.959892,0.077839
0.019674,0.085775,1.017873,0.025789
-0.056717,-0.150913,0.929515,0.014452
0.113706,-0.125110,1.078844,0.136632
-0.102707,0.257478,0.882241,0.084628
0.150136,-0.199890,1.126422,0.016595
0.056937,0.352841,0.968433,-0.058469
0.056758,0.015618,1.051418,0.118816
0.010241,-0.101171,0.986930,0.113486
0.090407,-0.199926,1.082444,-0.073983
