time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.65,Terrain,spikes,1.00008,0.399946,-0.000149089,0.615363,-2.49815,44.1012,5.18774e-16,4.03132e-15,1.9602e-16
0.65,spikes,plane,0.805785,0.206398,0.0915999,-0.0712695,0.0673151,-0.644874,1.37433e-19,-4.38606e-17,-3.30355e-18
0.66,Terrain,spikes,0.84013,0.399977,-0.000155641,1.10487,-2.30937,41.4492,-1.12788e-15,5.0681e-15,3.36709e-16
0.66,spikes,plane,0.805841,0.393812,0.0913447,-0.05043,0.0603188,-0.411694,1.32781e-17,-1.74569e-17,-4.36452e-18
0.67,Terrain,spikes,1.0096,0.0800316,-0.00017318,-0.87763,2.67351,62.7658,-2.96948e-06,1.26668e-06,0.0522915
0.67,spikes,plane,0.805881,0.393722,0.0914206,-0.047528,-0.0283955,-0.366265,6.44729e-18,-1.43292e-17,-1.37297e-18
0.68,Terrain,spikes,0.993511,5.66395e-05,-0.000170494,0.127816,2.29213,40.0252,5.22105e-06,3.13692e-06,-0.0778732
0.68,spikes,plane,0.8059,0.393696,0.0914846,-0.0343116,-0.0286854,-0.236051,2.77497e-18,-5.45962e-18,2.18668e-19
0.69,Terrain,spikes,0.999821,0.319965,-0.000169154,0.32024,-2.19767,55.0853,-5.32535e-06,-2.9902e-07,0.0750275
0.69,spikes,plane,0.805937,0.386235,0.0913571,-0.078462,0.05924,-0.495802,-1.33926e-17,-8.96186e-18,1.72506e-18
0.7,Terrain,spikes,1.00003,0.15215,-0.000172616,0.207196,0.366241,48.6807,1.47599e-06,1.07863e-06,-0.255623
0.7,spikes,plane,0.805924,0.11756,0.0913413,-0.0457963,-0.0278744,-0.60631,1.69263e-18,-2.53904e-17,2.52971e-19
0.71,Terrain,spikes,1.00701,0.197185,-0.00018145,-0.186529,0.256892,50.92,-2.37953e-07,1.17862e-07,0.0539957
0.71,spikes,plane,0.805935,0.00634038,0.0913127,0.00104325,-0.0153286,-0.357139,-6.50285e-20,5.21122e-18,-5.76683e-19
