time,body1,body2,cop x,cop y,cop z,fx,fy,fz,tx,ty,tz
0.89,Terrain,spikes,1.00173,0.197388,-0.000196751,-0.0245408,0.036808,49.5927,1.41334e-06,-7.90694e-07,2.29009e-05
0.89,spikes,plane,1.00189,0.197268,0.0912466,0.000566941,-0.000851258,-0.490924,1.86771e-06,-1.34196e-06,5.86186e-07
0.9,Terrain,spikes,1.0002,0.200228,-0.000195077,-0.00339665,-0.000213227,49.4802,-2.27099e-06,1.40513e-06,3.34883e-06
0.9,spikes,plane,1.00028,0.200267,0.0912522,7.96272e-05,3.39233e-06,-0.489819,1.87417e-06,-1.26478e-06,3.11825e-06
0.91,Terrain,spikes,0.999171,0.197011,-0.000193999,0.0116011,0.0414374,49.4594,6.59952e-06,-1.01504e-06,1.12003e-05
0.91,spikes,plane,0.999146,0.196818,0.0912567,-0.000268934,-0.00096075,-0.489606,1.46497e-06,-1.01777e-06,-4.89739e-07
0.92,Terrain,spikes,0.999824,0.202838,-0.000191614,0.00240893,-0.0393224,49.5135,2.12881e-06,-1.35022e-06,-1.90553e-05
0.92,spikes,plane,0.999802,0.203089,0.0912636,-5.87078e-05,0.000908896,-0.490186,1.20488e-06,-9.57951e-07,8.3306e-07
0.93,Terrain,spikes,1.00174,0.200825,-0.00019016,-0.0245887,-0.0111148,49.475,4.89787e-06,-1.51202e-06,7.65439e-06
0.93,spikes,plane,1.00197,0.200986,0.0912686,0.000572173,0.000259508,-0.489776,1.75418e-06,-1.26411e-06,-1.89899e-06
0.94,Terrain,spikes,0.998835,0.199406,-0.000189013,0.0159696,0.00914913,49.496,-1.1091e-06,-7.63224e-07,-4.09327e-06
0.94,spikes,plane,0.998746,0.199356,0.091273,-0.000372128,-0.000215245,-0.489999,1.40468e-06,-1.05908e-06,9.92648e-08
0.95,Terrain,spikes,0.999195,0.199462,-0.000187596,0.0108179,0.00920116,49.4855,-4.35237e-07,-1.5411e-06,-2.0965e-06
0.95,spikes,plane,0.999105,0.199448,0.0912778,-0.000254696,-0.000214953,-0.489899,1.39575e-06,-1.19178e-06,4.14798e-07
0.96,Terrain,spikes,0.999603,0.199724,-0.000186141,0.00586812,0.00307492,49.4775,4.96039e-06,-7.02429e-07,-1.2809e-06
0.96,spikes,plane,0.999742,0.199807,0.0912826,-0.000128897,-6.89139e-05,-0.489782,1.76126e-06,-1.25691e-06,1.07229e-08
0.97,Terrain,spikes,1.00076,0.200224,-0.000184733,-0.0101497,-0.00205033,49.493,-1.24404e-06,-1.89533e-07,3.91385e-06
0.97,spikes,plane,1.00082,0.200317,0.0912872,0.000232745,4.8115e-05,-0.489986,1.5787e-06,-1.36275e-06,6.64056e-07
0.98,Terrain,spikes,1.00028,0.199962,-0.000183581,-0.0041564,0.0014145,49.489,4.3107e-06,-5.29039e-07,4.0627e-06
0.98,spikes,plane,1.00034,0.199842,0.0912913,9.61243e-05,-4.2314e-05,-0.489942,1.97903e-06,-1.52603e-06,9.17943e-07
0.99,Terrain,spikes,1.00023,0.199435,-0.000182365,-0.00436839,0.0085891,49.476,3.23873e-07,2.61271e-07,5.66486e-06
0.99,spikes,plane,1.00026,0.199519,0.0912955,9.93844e-05,-0.000195477,-0.4898,1.56613e-06,-1.07662e-06,-7.8477e-07
1,Terrain,spikes,0.999133,0.20135,-0.000181061,0.011919,-0.0177887,49.4881,2.41638e-06,-2.32111e-06,-1.3987e-05
1,spikes,plane,0.999061,0.201607,0.0912998,-0.000278675,0.000417217,-0.489919,1.45539e-06,-1.14028e-06,1.02448e-06
1.01,Terrain,spikes,0.9999,0.201235,-0.000179876,-0.000783913,-0.0147295,49.4715,-1.3292e-06,-9.48073e-07,-4.80867e-06
