s,s[goal][0],s[goal][1],s[goalcost],s[ubound],s[timeCost],s[n],s[dt],s[effortCost],s[name],d,d[goal][0],d[goal][1],d[goalcost],d[ubound],d[timeCost],d[n],d[dt],d[effortCost],d[name],adapt_cost,adapt_iters,scratch_cost,subopt_score,goal_dist_sq,goalcost_dist,effortcost_dist,ubound_dist,timecost_dist
6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,3.73438606,16,3.324905853,0.123155429,0.106649067,10.05690654,0.069952668,0,0
6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,3.063014452,0,3.063014452,0,0,0,0,0,0
6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,3.541453497,29,3.073401905,0.152291046,0.709770866,21.70775215,0.15675588,0,0
6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,2.475026392,22,2.249513128,0.10024981,2.164898695,39.9961478,0.139666841,0,0
6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,9,0.339161226,0.274036158,31.4846896,1,1,2,0.1,0.475075007,doubleIntegratorProblem,2.469724862,17,2.261152832,0.092241456,0.521749448,10.34780384,0.390131347,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,2.284078854,8,2.092996702,0.091295964,0.620406941,25.86337971,0.00084216,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,3.401293092,41,2.930789571,0.160538145,0.748140013,7.61822242,0.021482231,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,2.662826958,4,2.559904979,0.04020539,0.266031921,13.98839778,0.587374942,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,3.668333464,39,3.097915715,0.184129525,3.087893438,20.9243061,0.395448975,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,2.504307313,13,2.217808554,0.129181015,1.113818705,7.36856726,0.545084431,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,3.846871701,39,3.324905853,0.156986655,1.337396276,11.65084561,0.226708548,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,3.308843857,17,3.063014452,0.080257344,0.709770866,21.70775215,0.15675588,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,3.073401905,0,3.073401905,0,0,0,0,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,2.332275278,7,2.249513128,0.036791139,1.399617264,18.28839565,0.017089039,0,0
7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,9,0.339161226,0.274036158,31.4846896,1,1,2,0.1,0.475075007,doubleIntegratorProblem,2.408033847,10,2.261152832,0.064958464,1.316266711,11.35994831,0.233375467,0,0
8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,0,-0.166182632,-0.195553519,45.988121,1,1,2,0.1,0.709292634,doubleIntegratorProblem,2.1535435,5,2.092996702,0.028928282,0.234139064,44.15177536,0.016246879,0,0
8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,1,0.800600071,-0.208672128,27.74296371,1,1,2,0.1,0.686968243,doubleIntegratorProblem,3.481715507,50,2.930789571,0.187978674,2.078249257,25.90661807,0.03857127,0,0
8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,2,0.483719585,-0.413450497,34.11313907,1,1,2,0.1,0.121075532,doubleIntegratorProblem,2.746460035,11,2.559904979,0.072875774,1.36564435,32.27679343,0.604463981,0,0
8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,3,0.049324365,0.877497407,41.04904739,1,1,2,0.1,0.313001499,doubleIntegratorProblem,3.457781878,26,3.097915715,0.116163962,1.375265555,39.21270175,0.412538014,0,0
8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,4,0.38355951,0.176715135,12.75617403,1,1,2,0.1,0.163366043,doubleIntegratorProblem,2.873220077,58,2.217808554,0.295522137,1.10041673,10.91982839,0.56217347,0,0
8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,5,0.96272947,0.035343225,31.7755869,1,1,2,0.1,0.935159022,doubleIntegratorProblem,4.838650114,99,3.324905853,0.455274323,2.564280591,29.93924126,0.209619509,0,0
8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,6,0.824794891,-0.2606688,41.83249344,1,1,2,0.1,0.865206354,doubleIntegratorProblem,3.508334661,39,3.063014452,0.145386258,2.164898695,39.9961478,0.139666841,0,0
8,-0.634801954,-0.074992349,1.836345636,1,1,2,0.1,0.725539513,doubleIntegratorProblem,7,0.242096735,-0.869137143,20.12474129,1,1,2,0.1,0.708450474,doubleIntegratorProblem,3.374693663,19,3.073401905,0.098032007,1.399617264,18.28839565,0.017089039,0,0
