trial,widget dx,widget dy,widget dx[-1],widget dy[-1],widget dx[-2],widget dy[-2],widget dx[-3],widget dy[-3],widget dx[-4],widget dy[-4],target rel x,target rel y
6,28.1492801,26.5746783,28.1734065,25.8125195,21.5670148,19.0769387,0.4807695,0.3205131,0.4807695,0.320513,65.0676814,52.4547853
6,28.2256814,26.6127853,28.1492801,26.5746783,28.1734065,25.8125195,21.5670148,19.0769387,0.4807695,0.3205131,36.842,25.842
6,12.0968136,8.0645424,28.2256814,26.6127853,28.1492801,26.5746783,28.1734065,25.8125195,21.5670148,19.0769387,24.7451864,17.7774576
6,5.3548015,4.9999765,12.0968136,8.0645424,28.2256814,26.6127853,28.1492801,26.5746783,28.1734065,25.8125195,19.3903849,12.7774811
6,1.5483849,2.3548361,5.3548015,4.9999765,12.0968136,8.0645424,28.2256814,26.6127853,28.1492801,26.5746783,17.842,10.422645
6,0.2187516,0.580645,1.5483849,2.3548361,5.3548015,4.9999765,12.0968136,8.0645424,28.2256814,26.6127853,17.6232484,9.842
6,0.7812484,0,0.2187516,0.580645,1.5483849,2.3548361,5.3548015,4.9999765,12.0968136,8.0645424,16.842,9.842
6,4.8387254,6.4516339,0.7812484,0,0.2187516,0.580645,1.5483849,2.3548361,5.3548015,4.9999765,12.0032746,3.3903661
6,4.8386972,5.8386925,4.8387254,6.4516339,0.7812484,0,0.2187516,0.580645,1.5483849,2.3548361,7.1645774,-2.4483264
6,3.5806425,3.9677387,4.8386972,5.8386925,4.8387254,6.4516339,0.7812484,0,0.2187516,0.580645,3.5839349,-6.4160651
6,1.9677442,1.9677442,3.5806425,3.9677387,4.8386972,5.8386925,4.8387254,6.4516339,0.7812484,0,1.6161907,-8.3838093
6,1.6161907,1.6161907,1.9677442,1.9677442,3.5806425,3.9677387,4.8386972,5.8386925,4.8387254,6.4516339,0,-10
6,0,0,1.6161907,1.6161907,1.9677442,1.9677442,3.5806425,3.9677387,4.8386972,5.8386925,0,-10
6,0,0,0,0,1.6161907,1.6161907,1.9677442,1.9677442,3.5806425,3.9677387,0,-10
6,0,0,0,0,0,0,1.6161907,1.6161907,1.9677442,1.9677442,0,-10
6,0,0,0,0,0,0,0,0,1.6161907,1.6161907,0,-10
7,0,0,0,0,0,0,0,0,0,0,-29.033,88.967
7,-1.6129023,2.0161278,0,0,0,0,0,0,0,0,-27.4200977,86.9508722
7,-1.6129023,2.0161279,-1.6129023,2.0161278,0,0,0,0,0,0,-25.8071954,84.9347443
7,-2.0322605,3.9032296,-1.6129023,2.0161279,-1.6129023,2.0161278,0,0,0,0,-23.7749349,81.0315147
7,-2.3981897,6.0332789,-2.0322605,3.9032296,-1.6129023,2.0161279,-1.6129023,2.0161278,0,0,-21.3767452,74.9982358
7,-2.3437452,7.0312358,-2.3981897,6.0332789,-2.0322605,3.9032296,-1.6129023,2.0161279,-1.6129023,2.0161278,-19.033,67.967
