#t,	body1,	body2,	number_of_contacts,	average_cp_x,	average_cp_y,	average_cp_z,	average_cn_x,	average_cn_y,	average_cn_z,	f_x,	f_y,	f_z,	m_x,	m_y,	m_z
15.283,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0433634,	0.0164112,	1.24968,	0.0173174,	-0.00347118,	-0.999844,	-362.329,	-10.5915,	-810.216,	-13.0427,	-57.5349,	6.31574
15.283,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0338395,	-0.0101024,	1.24799,	0.92212,	0.00600189,	-0.369436,	189.416,	14.5581,	7.70397,	-1.90171,	23.5247,	2.3675
15.283,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0362676,	-0.005216,	1.24975,	0.119597,	-0.00262566,	-0.991007,	-473.007,	6.87822,	-1294.23,	11.5337,	-88.0735,	-4.9804
15.284,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0361685,	-0.00583631,	1.24991,	0.133315,	-0.00224451,	-0.98788,	-518.117,	2.51622,	-1331.99,	12.8225,	-94.5718,	-5.38487
15.284,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0337336,	-0.010117,	1.24808,	0.928345,	0.00621576,	-0.35673,	256.141,	4.01471,	48.0682,	-1.18481,	32.7351,	3.58677
15.285,	object::object::object_collision,	soft_hand::soft_hand_little_distal_link::soft_hand_little_distal_link_collision,	10,	0.0512817,	-0.0210831,	1.20495,	-0.00799175,	0.999962,	-0.00334034,	49.6622,	573.394,	9.69866,	-45.9536,	4.03892,	-3.11265
15.285,	object::object::object_collision,	soft_hand::soft_hand_middle_middle_link::soft_hand_middle_middle_link_collision,	7,	0.0335887,	0.0143409,	1.24806,	0.91268,	0.00593116,	-0.408032,	395.517,	-5.6559,	147.426,	3.57804,	52.3827,	-7.58972
15.285,	object::object::object_collision,	soft_hand::soft_hand_middle_distal_link::soft_hand_middle_distal_link_collision,	10,	0.0431965,	0.016324,	1.24971,	0.0176472,	-0.00319889,	-0.999839,	-334.273,	-7.67583,	-787.964,	-12.9361,	-53.6973,	5.73919
15.285,	object::object::object_collision,	soft_hand::soft_hand_ring_middle_link::soft_hand_ring_middle_link_collision,	10,	0.0336352,	-0.0101372,	1.24799,	0.934634,	0.00632163,	-0.343668,	293.292,	3.3948,	33.571,	-0.899519,	36.9492,	4.13518
15.285,	object::object::object_collision,	soft_hand::soft_hand_ring_distal_link::soft_hand_ring_distal_link_collision,	10,	0.0361055,	-0.0059337,	1.24987,	0.130929,	-0.00225351,	-0.987857,	-544.188,	-1.74423,	-1360.76,	13.9218,	-98.4473,	-5.59184
